Ano,Estado,Occupation_Pct,Total_Visitors,Total_Visitors_Domestic,Total_Visitors_Foreign,Total_Overnight,Total_Overnight_Domestic,Total_Overnight_Foreign
2007,Jalisco,49.04502031,5539643.403,4536833.745,1002809.657,12950334.18,8897365.909,4052968.276
2007,M�xico,40.60868479,2924938.782,2864448.589,60490.19288,3748031.6,3635006.8,113024.8
2007,Michoac�n,42.17130499,2652142.816,2512834.682,139308.134,3400169.033,3211700.243,188468.7896
2007,Morelos,44.50895252,1332248.957,1262200.444,70048.51282,2163805.723,2040169.349,123636.3733
2007,Nayarit,64.57358076,1117452,652697,464755,3448985,1402708,2046277
2007,Nuevo Le�n,56.38183836,2189569.989,1814764.797,374805.1922,4448893.136,3721740.585,727152.5508
2007,Oaxaca,38.3084255,2445732.165,2247488.012,198244.1528,3950410.185,3340189.209,610220.9761
2007,Puebla,43.12253756,2057898.667,1794685.197,263213.4695,3095688.193,2648996.658,446691.5349
2007,Quer�taro,56.31673722,1432593.441,1327352.608,105240.8333,2330422.998,2157914.815,172508.1832
2007,Quintana Roo,69.49496755,7546720.017,2027348.275,5519371.743,36660354.35,5833907.258,30826447.1
2007,San Luis Potos�,47.85156256,1197811.728,1143347.455,54464.27348,1997012.052,1890021.747,106990.3046
2007,Sinaloa,56.27974717,2131682.976,1817246.502,314436.4747,5792962.035,4036903.739,1756058.296
2007,Sonora,54.02105587,2396690.652,1857056.787,539633.8648,4619515.312,3548420.394,1071094.919
2007,Tabasco,51.65249152,1097472.336,1043791.95,53680.38609,1816575.327,1744299.844,72275.48235
2007,Tamaulipas,-,-,-,-,-,-,-
2007,Tlaxcala,33.0644267,466239.9781,458383.6704,7856.307693,569278.905,556845.0355,12433.8695
2007,Veracruz,48.19302217,5564931.257,5417527.733,147403.5242,8718710.457,8471714.686,246995.7712
2007,Yucat�n,56.33218889,1589939.835,1174706.622,415233.2134,2648973.732,1995408.819,653564.9131
2007,Zacatecas,43.71496511,953882.1899,885408.2616,68473.92828,1491260.613,1353653.838,137606.775
2006,Aguascalientes,45.60462738,432166.8843,394055.6483,38111.23601,812023.2567,733640.6672,78382.58954
2006,Baja California,49.08122932,3532597.602,2171548.392,1361049.21,4898567,3047543.223,1851023.777
2006,Baja California Sur,65.03079948,1834519.538,665619.4499,1168900.088,6401058.331,1526216.282,4874842.049
2006,Campeche,53.99085089,1025681.845,762523.8144,263158.0307,1461478.773,1149994.891,311483.8823
2006,Chiapas,41.43101931,2056502.52,1641121.206,415381.3142,2852466.464,2255501.04,596965.4233
2006,Chihuahua,52.86965579,2667375.51,2107323.465,560052.0455,4696930.752,3840437.916,856492.8362
2006,Coahuila,-,-,-,-,-,-,-
2006,Colima,48.89182925,1224092.54,1134406.607,89685.93303,2646803.649,2389110.461,257693.1884
2006,Distrito Federal,54.38059701,10296329,7563355,2732974,20394682,14702721,5691961
2006,Durango,40.1490932,404368.0388,391435.075,12932.96384,633513.9838,610197.6549,23316.32891
2006,Guanajuato,40.95851709,2809810.815,2668129.38,141681.4349,4259448.935,3950443.331,309005.6037
2006,Guerrero,45.18694406,5818100.424,5543983.934,274116.4899,9160599.547,7771185.146,1389414.401
2006,Hidalgo,29.82251816,1249388,1208451,40937,1524393,1470334,54059
2006,Jalisco,51.0581585,5452893.058,4373704.417,1079188.641,12944558.7,8552482.936,4392075.768
2006,M�xico,38.09944418,2199249.588,2081992.176,117257.4114,3019980.491,2843695.602,176284.8888
2006,Michoac�n,48.88182257,2210411.399,2062661.915,147749.4841,3248918.105,3027727.842,221190.2626
2006,Morelos,44.40274655,1576143.044,1488894.068,87248.97592,2429535.678,2280748.988,148786.6902
2006,Nayarit,69.95386149,1789693.139,915541.8852,874151.2539,6585297.695,2506572.562,4078725.132
2006,Nuevo Le�n,57.52306353,1887644.074,1556611.325,331032.7488,3857869.063,3205802.279,652066.7834
2006,Oaxaca,38.01573779,1892567.329,1674364.325,218203.0037,3569806.821,2905978.113,663828.7084
2006,Puebla,44.38431946,2009199.64,1786706.592,222493.048,3097227.602,2698503.619,398723.9832
